Date,Open,High,Low,Close
31-July-2009,15449.47,15732.81,15449.47,15670.31,
3-August-2009,15694.78,15963.36,15608.40,15924.23,
4-August-2009,15940.10,16002.46,15699.13,15830.98,
5-August-2009,15882.39,15973.10,15695.11,15903.83,
6-August-2009,15881.47,15969.81,15443.22,15514.03,
7-August-2009,15440.95,15501.94,15104.00,15160.24,
10-August-2009,15287.14,15417.34,14902.02,15009.77,
11-August-2009,15000.38,15218.65,14864.23,15074.59,
12-August-2009,14953.44,15043.62,14701.05,15020.16,
13-August-2009,15207.96,15545.13,15207.96,15518.49,
14-August-2009,15530.38,15535.47,15367.61,15411.63,
17-August-2009,15284.23,15284.23,14740.63,14784.92,
18-August-2009,14745.80,15134.51,14740.26,15035.26,
19-August-2009,15079.04,15096.94,14684.45,14809.64,
20-August-2009,14930.05,15145.00,14928.18,15012.32,
21-August-2009,14951.49,15275.17,14835.08,15240.83,
24-August-2009,15362.93,15676.35,15362.93,15628.75,
25-August-2009,15573.91,15735.32,15423.39,15688.47,
26-August-2009,15763.09,15831.49,15695.94,15769.85,
27-August-2009,15711.80,15853.71,15685.49,15781.07,
28-August-2009,15770.19,15957.67,15663.35,15922.34,
31-August-2009,15812.15,15821.35,15589.80,15666.64,
1-September-2009,15691.27,15923.09,15475.28,15551.19,
2-September-2009,15482.05,15628.10,15392.68,15467.46,
3-September-2009,15539.34,15598.18,15356.72,15398.33,
4-September-2009,15425.86,15740.83,15358.94,15689.12,
7-September-2009,15793.27,16035.50,15793.27,16016.32,
8-September-2009,16030.56,16232.16,16030.56,16123.67,
9-September-2009,16111.09,16215.74,16044.77,16183.55,
10-September-2009,16295.92,16434.77,16166.42,16216.86,
11-September-2009,16254.57,16337.98,16130.32,16264.30,
14-September-2009,16185.26,16252.18,16119.95,16214.19,
15-September-2009,16255.42,16477.23,16255.42,16454.45,
16-September-2009,16498.59,16700.56,16498.59,16677.04,
17-September-2009,16686.38,16820.02,16636.55,16711.11,
18-September-2009,16650.05,16765.03,16610.05,16741.30,
22-September-2009,16805.22,16943.49,16763.78,16886.43,
23-September-2009,16905.50,16905.58,16683.78,16719.50,
24-September-2009,16634.08,16834.10,16494.92,16781.43,
25-September-2009,16679.99,16812.02,16613.22,16693.00,
29-September-2009,16829.11,16907.84,16802.80,16852.91,
30-September-2009,16868.46,17142.52,16868.46,17126.84,
1-October-2009,17186.20,17195.61,17059.36,17134.55,
5-October-2009,17062.01,17062.01,16835.80,16866.41,
6-October-2009,16879.38,16988.56,16622.05,16958.54,
7-October-2009,17069.42,17120.56,16764.07,16806.66,
8-October-2009,16908.02,16998.52,16775.36,16843.54,
9-October-2009,16915.96,16963.08,16606.95,16642.66,
12-October-2009,16687.32,17068.78,16687.32,17026.67,
14-October-2009,17117.90,17274.59,17117.90,17231.11,
15-October-2009,17274.07,17350.39,17092.83,17195.20,
16-October-2009,17196.80,17347.85,17126.55,17322.82,
17-October-2009,17452.56,17493.17,17260.66,17326.01,
20-October-2009,17414.80,17457.26,17185.04,17223.01,
21-October-2009,17229.72,17248.69,16997.86,17009.17,
22-October-2009,17031.54,17031.54,16721.26,16789.74,
23-October-2009,16795.66,17006.77,16765.20,16810.81,
26-October-2009,16808.05,16938.88,16706.08,16740.50,
27-October-2009,16699.09,16699.09,16311.50,16353.40,
28-October-2009,16335.78,16411.14,16144.17,16283.49,
29-October-2009,16191.39,16264.09,15993.83,16052.72,
30-October-2009,16135.87,16360.88,15805.20,15896.28,
3-November-2009,15838.63,15957.06,15330.56,15404.94,
4-November-2009,15487.97,15929.09,15487.97,15912.13,
5-November-2009,15926.13,16092.38,15564.89,16063.90,
6-November-2009,16137.42,16283.86,16075.19,16158.28,
9-November-2009,16190.79,16517.42,16147.21,16498.72,
10-November-2009,16552.43,16677.53,16371.66,16440.56,
11-November-2009,16444.44,16887.80,16405.19,16849.60,
12-November-2009,16822.18,16896.62,16605.01,16696.03,
13-November-2009,16693.15,16909.74,16666.70,16848.83,
16-November-2009,16893.11,17083.20,16893.11,17032.51,
17-November-2009,17036.23,17080.17,16882.98,17050.65,
18-November-2009,17032.01,17098.79,16958.41,16998.78,
19-November-2009,17004.98,17004.98,16712.33,16785.65,
20-November-2009,16772.75,17041.79,16635.75,17021.85,
23-November-2009,17067.14,17214.58,17045.02,17180.18,
24-November-2009,17230.86,17230.86,17027.52,17131.08,
25-November-2009,17149.08,17290.48,17124.15,17198.95,
26-November-2009,17199.05,17202.51,16808.87,16854.93,
27-November-2009,16718.80,16718.80,16210.44,16632.01,
30-November-2009,16655.75,17026.91,16655.75,16926.22,
1-December-2009,16947.46,17218.46,16947.46,17198.27,
2-December-2009,17226.49,17329.68,17142.36,17169.91,
3-December-2009,17199.64,17361.27,17128.21,17185.68,
4-December-2009,17182.23,17291.83,17032.81,17101.54,
7-December-2009,17106.74,17176.62,16943.01,16983.14,
8-December-2009,16984.54,17237.79,16964.11,17227.68,
9-December-2009,17204.32,17227.96,17057.37,17125.22,
10-December-2009,17107.00,17231.05,17032.30,17189.31,
11-December-2009,17199.74,17351.71,17056.12,17119.03,
14-December-2009,17118.14,17275.19,17048.17,17097.55,
15-December-2009,17150.59,17200.47,16835.78,16877.16,
16-December-2009,16866.95,16996.12,16777.94,16912.77,
17-December-2009,16912.25,16979.52,16826.00,16894.25,
18-December-2009,16855.91,16899.19,16693.06,16719.83,
21-December-2009,16724.84,16750.99,16577.78,16601.20,
22-December-2009,16633.81,16738.12,16633.81,16692.00,
23-December-2009,16723.96,17252.09,16723.96,17231.11,
24-December-2009,17265.47,17413.69,17198.09,17360.61,
29-December-2009,17388.67,17486.05,17372.63,17401.56,
30-December-2009,17402.24,17440.05,17322.80,17343.82,
31-December-2009,17365.37,17530.94,17365.37,17464.81,
4-January-2010,17473.45,17582.84,17378.38,17558.73,
5-January-2010,17555.77,17729.78,17555.77,17686.24,
6-January-2010,17719.47,17790.33,17636.71,17701.13,
7-January-2010,17701.97,17733.34,17566.54,17615.72,
8-January-2010,17603.87,17658.12,17508.96,17540.29,
11-January-2010,17724.59,17776.57,17500.79,17526.71,
12-January-2010,17534.10,17612.00,17392.55,17422.51,
13-January-2010,17368.03,17528.31,17276.46,17509.80,
14-January-2010,17525.71,17628.04,17525.71,17584.87,
15-January-2010,17604.31,17639.85,17529.11,17554.30,
18-January-2010,17538.72,17712.60,17505.50,17641.08,
19-January-2010,17650.82,17664.86,17463.78,17486.06,
20-January-2010,17486.69,17590.59,17425.05,17474.49,
21-January-2010,17474.49,17474.49,17025.26,17051.14,
22-January-2010,16978.36,17000.33,16608.09,16859.68,
25-January-2010,16847.70,16877.77,16705.56,16780.46,
27-January-2010,16708.60,16708.60,16230.85,16289.82,
28-January-2010,16317.16,16524.69,16182.14,16306.87,
29-January-2010,16253.82,16390.31,15982.08,16357.96,
1-February-2010,16339.32,16422.40,16160.80,16356.03,
2-February-2010,16368.44,16525.98,16129.11,16163.44,
3-February-2010,16210.25,16552.99,16210.25,16496.05,
4-February-2010,16500.29,16508.22,16188.80,16224.95,
5-February-2010,16222.56,16222.56,15725.43,15790.93,
6-February-2010,15807.75,15951.07,15807.75,15915.65,
8-February-2010,15931.34,16061.41,15651.99,15935.61,
9-February-2010,15940.73,16094.13,15862.90,16042.18,
10-February-2010,16042.18,16141.13,15892.01,15922.17,
11-February-2010,15928.28,16202.87,15928.28,16152.59,
15-February-2010,16186.90,16227.04,16011.82,16038.35,
16-February-2010,16042.18,16310.39,16021.29,16226.68,
17-February-2010,16228.91,16480.89,16228.91,16428.91,
18-February-2010,16421.20,16452.51,16287.17,16327.84,
19-February-2010,16256.53,16301.94,16074.58,16191.63,
22-February-2010,16191.32,16423.23,16191.32,16237.05,
23-February-2010,16213.14,16324.93,16178.91,16286.32,
24-February-2010,16218.68,16328.44,16187.44,16255.97,
25-February-2010,16264.10,16329.33,16167.13,16254.20,
26-February-2010,16255.33,16669.25,16249.67,16429.55,
2-March-2010,16438.45,16808.49,16438.45,16772.56,
3-March-2010,16778.29,17012.61,16778.29,17000.01,
4-March-2010,17013.68,17024.96,16888.05,16971.70,
5-March-2010,16988.29,17097.71,16936.12,16994.49,
8-March-2010,17034.92,17187.55,17034.92,17102.60,
9-March-2010,17089.22,17130.83,17031.21,17052.54,
10-March-2010,17072.94,17183.51,17027.92,17098.33,
11-March-2010,17087.63,17215.07,17054.28,17167.96,
12-March-2010,17176.02,17244.54,17126.93,17166.62,
15-March-2010,17166.97,17195.49,17061.14,17164.99,
16-March-2010,17169.84,17416.55,17150.06,17383.18,
17-March-2010,17389.47,17576.78,17389.47,17490.08,
18-March-2010,17492.81,17548.13,17417.61,17519.26,
19-March-2010,17531.47,17600.87,17502.14,17578.23,
22-March-2010,17481.96,17559.18,17337.38,17410.57,
23-March-2010,17422.51,17530.79,17356.64,17451.02,
25-March-2010,17458.51,17575.23,17383.21,17558.85,
26-March-2010,17558.85,17682.94,17558.85,17644.76,
29-March-2010,17639.18,17793.01,17639.18,17711.35,
30-March-2010,17703.67,17783.35,17558.22,17590.17,
31-March-2010,17602.39,17699.50,17488.55,17527.77,
1-April-2010,17555.04,17706.56,17555.04,17692.62,
5-April-2010,17693.66,17948.54,17693.66,17935.68,
6-April-2010,17940.32,17991.41,17898.00,17941.37,
7-April-2010,17915.60,18047.86,17878.31,17970.02,
8-April-2010,17950.56,17960.91,17679.34,17714.40,
9-April-2010,17715.16,17971.47,17715.16,17933.14,
12-April-2010,17874.16,17995.25,17816.19,17853.00,
13-April-2010,17831.38,17892.78,17736.09,17821.96,
15-April-2010,17804.55,17975.57,17619.02,17639.26,
16-April-2010,17645.91,17663.99,17529.55,17591.18,
19-April-2010,17584.86,17584.86,17276.80,17400.68,
20-April-2010,17394.68,17560.09,17394.68,17460.58,
21-April-2010,17458.76,17565.55,17446.51,17472.56,
22-April-2010,17476.48,17778.34,17408.02,17573.99,
23-April-2010,17533.88,17725.88,17533.88,17694.20,
26-April-2010,17692.26,17826.48,17692.26,17745.28,
27-April-2010,17744.93,17769.25,17678.56,17690.62,
28-April-2010,17643.59,17643.59,17344.58,17380.08,
29-April-2010,17382.09,17532.86,17382.09,17503.47,
30-April-2010,17503.47,17646.61,17503.47,17558.71,
3-May-2010,17536.86,17536.86,17345.92,17386.08,
4-May-2010,17371.75,17464.82,17101.96,17137.14,
5-May-2010,17103.95,17121.66,16858.23,17087.96,
6-May-2010,17080.47,17080.47,16823.00,16987.53,
7-May-2010,16939.58,16939.58,16684.13,16769.11,
10-May-2010,16799.49,17356.54,16799.49,17330.55,
11-May-2010,17336.13,17379.15,17104.45,17141.53,
12-May-2010,17141.53,17252.52,17028.08,17195.81,
13-May-2010,17323.63,17389.15,17240.35,17265.87,
14-May-2010,17267.25,17329.32,16923.65,16994.60,
17-May-2010,16961.92,16961.92,16551.00,16835.56,
18-May-2010,16840.59,17000.34,16744.13,16875.76,
19-May-2010,16802.39,16802.39,16373.32,16408.49,
20-May-2010,16419.10,16617.80,16419.10,16519.68,
21-May-2010,16317.94,16486.74,16187.03,16445.61,
24-May-2010,16494.61,16757.73,16413.03,16469.55,
25-May-2010,16444.57,16444.57,15960.15,16022.48,
26-May-2010,16069.78,16410.35,16069.78,16387.84,
27-May-2010,16410.88,16694.55,16331.10,16666.40,
28-May-2010,16692.66,16891.17,16692.66,16863.06,
31-May-2010,16872.17,16971.15,16806.50,16944.63,
1-June-2010,16942.82,16942.82,16318.39,16572.03,
2-June-2010,16574.79,16774.15,16571.45,16741.84,
3-June-2010,16786.28,17072.63,16786.28,17022.33,
4-June-2010,17036.55,17150.42,16963.92,17117.69,
7-June-2010,17069.77,17069.77,16686.73,16781.07,
8-June-2010,16760.60,16895.73,16560.64,16617.10,
9-June-2010,16621.12,16817.69,16591.26,16657.89,
10-June-2010,16668.91,16942.60,16668.91,16922.08,
11-June-2010,16994.07,17131.56,16994.07,17064.95,
14-June-2010,17118.74,17351.18,17118.74,17338.17,
15-June-2010,17355.49,17442.50,17249.46,17412.83,
16-June-2010,17500.30,17530.38,17407.30,17462.87,
17-June-2010,17490.52,17647.42,17394.90,17616.69,
18-June-2010,17628.02,17721.99,17525.29,17570.82,
21-June-2010,17654.81,17919.62,17654.81,17876.55,
22-June-2010,17868.12,17868.12,17725.63,17749.69,
23-June-2010,17694.87,17782.41,17629.19,17755.94,
24-June-2010,17750.51,17845.65,17632.80,17730.24,
25-June-2010,17705.11,17714.73,17546.73,17574.53,
28-June-2010,17577.66,17794.80,17571.85,17774.26,
29-June-2010,17777.95,17777.95,17465.73,17534.09,
30-June-2010,17476.85,17725.04,17373.78,17700.90,
1-July-2010,17679.34,17679.34,17455.41,17509.33,
2-July-2010,17523.47,17598.94,17426.78,17460.95,
5-July-2010,17473.83,17505.73,17423.74,17441.44,
6-July-2010,17402.68,17643.14,17395.58,17614.48,
7-July-2010,17623.66,17623.66,17447.15,17471.03,
8-July-2010,17536.48,17728.37,17536.48,17651.73,
9-July-2010,17667.85,17857.58,17667.85,17833.54,
12-July-2010,17875.97,18010.07,17874.95,17937.20,
13-July-2010,17908.30,17998.04,17855.85,17985.90,
14-July-2010,18024.95,18167.22,17897.26,17938.16,
15-July-2010,17874.71,17978.56,17858.73,17909.46,
16-July-2010,17911.13,17980.27,17892.16,17955.82,
19-July-2010,17914.12,18005.07,17856.40,17928.42,
20-July-2010,17918.43,18040.17,17848.07,17878.14,
21-July-2010,17873.92,18012.20,17873.92,17977.23,
22-July-2010,17978.37,18127.90,17879.88,18113.15,
23-July-2010,18132.29,18237.56,18093.93,18130.98,
26-July-2010,18056.24,18194.09,17993.88,18020.05,
27-July-2010,17998.74,18149.56,17998.74,18077.61,
28-July-2010,18077.85,18137.14,17925.40,17957.37,
29-July-2010,17961.58,18013.10,17902.84,17992.00,
30-July-2010,17981.06,18000.35,17838.92,17868.29,
2-August-2010,17911.31,18104.24,17911.31,18081.21,
3-August-2010,18149.90,18167.45,18072.38,18114.83,
4-August-2010,18115.56,18249.46,18093.03,18217.44,
5-August-2010,18234.85,18295.43,18156.45,18172.83,
6-August-2010,18165.49,18244.56,18118.19,18143.99,
9-August-2010,18141.11,18309.25,18139.90,18287.50,
10-August-2010,18272.28,18293.40,18170.77,18219.99,
11-August-2010,18177.35,18263.88,18042.89,18070.19,
12-August-2010,17972.65,18113.62,17914.78,18073.90,
13-August-2010,18080.29,18260.39,18050.42,18167.03,
16-August-2010,18169.80,18203.92,17997.46,18050.78,
17-August-2010,18049.19,18140.15,18026.00,18048.85,
18-August-2010,18067.67,18286.00,18067.67,18257.12,
19-August-2010,18276.50,18475.27,18276.50,18454.94,
20-August-2010,18444.24,18464.14,18360.90,18401.82,
23-August-2010,18400.33,18454.38,18371.02,18409.35,
24-August-2010,18407.01,18451.73,18260.71,18311.59,
25-August-2010,18308.51,18312.43,18156.00,18179.64,
26-August-2010,18194.78,18261.06,18159.13,18226.35,
27-August-2010,18205.90,18248.36,17944.16,17998.41,
30-August-2010,18063.48,18216.50,17960.23,18032.11,
31-August-2010,18015.66,18015.66,17819.99,17971.12,
1-September-2010,18027.12,18227.14,18027.12,18205.87,
2-September-2010,18215.28,18355.84,18215.28,18238.31,
3-September-2010,18238.08,18316.32,18206.50,18221.43,
6-September-2010,18124.29,18600.30,18124.29,18560.05,
7-September-2010,18571.73,18711.20,18571.43,18645.06,
8-September-2010,18627.67,18721.21,18540.65,18666.71,
9-September-2010,18669.12,18823.17,18669.12,18799.66,
13-September-2010,18845.31,19243.44,18845.31,19208.33,
14-September-2010,19218.13,19487.02,19218.13,19346.96,
15-September-2010,19343.74,19554.50,19340.99,19502.11,
16-September-2010,19476.93,19636.66,19383.46,19417.49,
17-September-2010,19436.71,19639.18,19436.71,19594.75,
20-September-2010,19445.42,19927.30,19445.42,19906.10,
21-September-2010,19925.79,20088.96,19860.88,20001.55,
22-September-2010,20039.43,20105.54,19804.02,19941.72,
23-September-2010,19944.30,19998.32,19771.63,19861.01,
24-September-2010,19836.43,20071.75,19833.52,20045.18,
27-September-2010,20082.26,20267.98,20082.26,20117.38,
28-September-2010,20114.37,20157.51,19981.96,20104.86,
29-September-2010,20086.89,20234.05,19923.11,19956.34,
30-September-2010,19931.49,20114.73,19864.46,20069.12,
1-October-2010,20094.10,20475.47,20094.10,20445.04,
4-October-2010,20501.21,20706.74,20437.36,20475.73,
5-October-2010,20461.98,20560.54,20383.16,20407.71,
6-October-2010,20448.69,20669.95,20447.05,20543.08,
7-October-2010,20544.30,20581.29,20272.77,20315.32,
8-October-2010,20297.58,20409.19,20145.74,20250.26,
11-October-2010,20291.59,20461.27,20274.95,20339.89,
12-October-2010,20357.79,20368.40,20107.25,20203.34,
13-October-2010,20223.45,20703.97,20211.66,20687.88,
14-October-2010,20700.42,20854.55,20442.82,20497.64,
15-October-2010,20518.50,20578.45,20090.18,20125.05,
18-October-2010,20160.55,20229.39,19870.51,20168.89,
19-October-2010,20298.55,20332.02,19923.96,19983.13,
20-October-2010,19924.02,20043.82,19822.66,19872.15,
21-October-2010,19951.34,20293.10,19886.12,20260.58,
22-October-2010,20334.14,20351.74,20088.67,20165.86,
25-October-2010,20199.73,20452.30,20199.73,20303.12,
26-October-2010,20325.44,20344.68,20189.30,20221.39,
27-October-2010,20220.58,20220.58,19923.71,20005.37,
28-October-2010,20116.49,20185.46,19869.32,19941.04,
29-October-2010,19986.32,20080.33,19768.96,20032.34,
1-November-2010,20272.49,20609.65,20267.10,20355.63,
2-November-2010,20407.18,20418.35,20281.73,20345.69,
3-November-2010,20472.86,20538.80,20426.18,20465.74,
4-November-2010,20605.63,20917.03,20605.63,20893.57,
5-November-2010,21045.66,21108.64,20961.98,21004.96,
8-November-2010,21041.97,21075.71,20822.37,20852.38,
9-November-2010,20851.91,20984.08,20762.81,20932.48,
10-November-2010,20917.54,20970.91,20849.92,20875.71,
11-November-2010,20930.45,20937.38,20544.22,20589.09,
12-November-2010,20529.74,20593.91,20108.40,20156.89,
15-November-2010,20167.62,20335.51,20046.60,20309.69,
16-November-2010,20371.73,20380.10,19832.22,19865.14,
18-November-2010,19997.83,20056.44,19615.51,19930.64,
19-November-2010,19982.75,19982.75,19504.87,19585.44,
22-November-2010,19713.84,19989.02,19641.42,19957.59,
23-November-2010,19841.42,19841.42,19342.69,19691.84,
24-November-2010,19735.28,19835.57,19375.92,19459.85,
25-November-2010,19560.25,19628.27,19257.37,19318.16,
26-November-2010,19391.96,19417.61,18954.82,19136.61,
29-November-2010,19230.34,19450.09,19167.19,19405.10,
30-November-2010,19373.23,19610.46,19218.02,19521.25,
1-December-2010,19529.99,19887.26,19525.15,19850.00,
2-December-2010,20038.66,20084.25,19917.77,19992.70,
3-December-2010,20007.89,20067.81,19877.12,19966.93,
6-December-2010,20038.25,20217.86,19944.71,19981.31,
7-December-2010,19982.90,20008.36,19824.44,19934.64,
8-December-2010,19874.30,19875.51,19611.35,19696.48,
9-December-2010,19746.15,19771.09,19160.87,19242.36,
10-December-2010,19201.89,19537.40,19074.57,19508.89,
13-December-2010,19600.28,19710.57,19321.41,19691.78,
14-December-2010,19746.75,19836.82,19621.41,19799.19,
15-December-2010,19791.22,19817.61,19571.43,19647.77,
16-December-2010,19698.58,19897.22,19554.35,19864.85,
20-December-2010,19770.02,20006.16,19711.12,19888.88,
21-December-2010,19925.76,20090.84,19925.76,20060.32,
22-December-2010,20118.82,20151.25,19931.31,20015.80,
23-December-2010,20038.83,20076.08,19939.30,19982.88,
24-December-2010,19911.46,20086.42,19880.36,20073.66,
27-December-2010,20062.60,20190.13,20010.33,20028.93,
28-December-2010,20056.47,20090.41,19981.76,20025.42,
29-December-2010,20060.88,20274.20,20054.64,20256.03,
30-December-2010,20274.12,20410.91,20274.12,20389.07,
31-December-2010,20412.76,20552.03,20412.76,20509.09,
3-January-2011,20621.61,20664.80,20531.00,20561.05,
4-January-2011,20617.38,20651.21,20449.01,20498.72,
5-January-2011,20509.95,20509.95,20243.95,20301.10,
6-January-2011,20395.50,20425.85,20107.17,20184.74,
7-January-2011,20163.85,20210.62,19629.22,19691.81,
10-January-2011,19714.42,19720.43,19158.43,19224.12,
11-January-2011,19279.77,19431.56,19003.60,19196.34,
12-January-2011,19353.34,19574.63,19048.56,19534.10,
13-January-2011,19492.30,19522.38,19136.27,19182.82,
14-January-2011,19198.04,19447.82,18811.96,18860.44,
17-January-2011,18911.43,19018.94,18779.38,18882.25,
18-January-2011,18983.20,19120.62,18933.47,19092.05,
19-January-2011,19153.31,19167.06,18898.56,18978.32,
20-January-2011,18892.43,19100.26,18794.73,19046.54,
21-January-2011,19007.08,19065.34,18932.40,19007.53,
24-January-2011,19095.69,19194.46,18998.38,19151.28,
25-January-2011,19227.42,19340.99,18949.44,18969.45,
27-January-2011,19086.69,19086.69,18656.05,18684.43,
28-January-2011,18708.62,18723.12,18235.45,18395.97,
31-January-2011,18226.21,18395.09,18038.48,18327.76,
1-February-2011,18425.18,18452.06,17982.17,18022.22,
2-February-2011,18216.91,18306.00,18042.61,18090.62,
3-February-2011,18113.73,18466.21,18064.61,18449.31,
4-February-2011,18450.07,18542.20,17926.98,18008.15,
7-February-2011,18135.02,18180.94,17977.01,18037.19,
8-February-2011,18141.51,18141.51,17742.18,17775.70,
9-February-2011,17723.99,17864.32,17508.35,17592.77,
10-February-2011,17603.29,17636.88,17362.59,17463.04,
11-February-2011,17519.13,17752.56,17295.62,17728.61,
14-February-2011,17940.16,18227.62,17857.12,18202.20,
15-February-2011,18260.08,18361.66,18050.48,18273.80,
16-February-2011,18273.06,18358.84,18216.12,18300.90,
17-February-2011,18345.12,18532.61,18233.79,18506.82,
18-February-2011,18564.08,18690.97,18159.82,18211.52,
21-February-2011,18238.54,18457.49,18082.66,18438.31,
22-February-2011,18390.72,18457.90,18187.33,18296.16,
23-February-2011,18233.77,18377.48,18150.01,18178.33,
24-February-2011,18135.12,18135.12,17559.70,17632.41,
25-February-2011,17775.08,17812.44,17469.97,17700.91,
28-February-2011,17811.08,18296.53,17718.88,17823.40,
1-March-2011,17982.28,18478.68,17964.39,18446.50,
3-March-2011,18318.32,18603.57,18253.62,18489.76,
4-March-2011,18622.70,18736.97,18448.69,18486.45,
7-March-2011,18361.65,18361.65,18058.71,18222.67,
8-March-2011,18277.34,18466.81,18266.62,18439.65,
9-March-2011,18522.80,18583.30,18303.80,18469.95,
10-March-2011,18430.84,18430.84,18261.26,18327.98,
11-March-2011,18248.11,18368.43,18063.29,18174.09,
14-March-2011,18167.10,18463.84,18155.43,18439.48,
15-March-2011,18113.79,18326.33,17920.55,18167.64,
16-March-2011,18263.68,18444.47,18263.68,18358.69,
17-March-2011,18227.16,18354.27,18104.02,18149.87,
18-March-2011,18251.18,18259.61,17849.53,17878.81,
21-March-2011,17984.72,18007.73,17792.17,17839.05,
22-March-2011,17929.09,18041.38,17878.80,17988.30,
23-March-2011,17972.04,18218.28,17950.17,18206.16,
24-March-2011,18286.42,18373.97,18269.32,18350.74,
25-March-2011,18480.69,18858.30,18480.69,18815.64,
28-March-2011,18799.71,19024.18,18799.57,18943.14,
29-March-2011,18949.57,19226.21,18944.82,19120.80,
30-March-2011,19178.77,19357.10,19178.77,19290.18,
31-March-2011,19339.75,19575.16,19284.35,19445.22,
1-April-2011,19463.11,19562.55,19382.35,19420.39,
4-April-2011,19473.93,19729.60,19449.36,19701.73,
5-April-2011,19731.38,19770.21,19523.54,19686.82,
6-April-2011,19698.61,19811.14,19550.55,19612.20,
7-April-2011,19620.88,19665.09,19537.02,19591.18,
8-April-2011,19602.81,19697.21,19388.42,19451.45,
11-April-2011,19382.91,19426.30,19242.59,19262.54,
13-April-2011,19187.01,19737.33,19101.63,19696.86,
15-April-2011,19670.07,19700.96,19337.12,19386.82,
18-April-2011,19389.74,19649.22,19071.47,19091.17,
19-April-2011,19091.78,19201.92,18976.19,19121.83,
20-April-2011,19274.21,19484.77,19171.03,19470.98,
21-April-2011,19582.50,19695.98,19530.50,19602.23,
25-April-2011,19538.52,19697.49,19531.34,19584.31,
26-April-2011,19596.32,19626.13,19306.92,19545.35,
27-April-2011,19610.71,19633.63,19412.79,19448.69,
28-April-2011,19532.85,19542.05,19265.92,19292.02,
29-April-2011,19292.57,19356.50,19015.05,19135.96,
2-May-2011,19224.05,19253.87,18954.76,18998.02,
3-May-2011,18979.31,19024.95,18502.42,18534.69,
4-May-2011,18558.33,18604.36,18339.53,18469.36,
5-May-2011,18484.71,18569.21,18160.65,18210.58,
6-May-2011,18289.78,18568.48,18271.68,18518.81,
9-May-2011,18628.63,18643.58,18367.21,18528.96,
10-May-2011,18564.95,18689.37,18429.06,18512.77,
11-May-2011,18572.61,18622.44,18454.93,18584.96,
12-May-2011,18525.32,18610.02,18314.34,18335.79,
13-May-2011,18362.45,18724.54,18280.70,18531.28,
16-May-2011,18492.68,18492.68,18319.88,18345.03,
17-May-2011,18374.45,18435.80,18084.67,18137.35,
18-May-2011,18177.32,18218.20,18020.79,18086.20,
19-May-2011,18166.64,18198.45,18057.82,18141.40,
20-May-2011,18199.96,18429.47,18161.38,18326.09,
23-May-2011,18269.06,18269.06,17971.02,17993.33,
24-May-2011,18016.43,18110.39,17933.94,18011.97,
25-May-2011,17976.36,17976.36,17786.13,17847.24,
26-May-2011,17917.11,18072.61,17862.88,18044.64,
27-May-2011,18105.61,18298.64,18087.16,18266.10,
30-May-2011,18319.74,18380.17,18199.52,18232.06,
31-May-2011,18266.61,18526.80,18266.61,18503.28,
1-June-2011,18527.12,18636.12,18514.66,18608.81,
2-June-2011,18425.85,18540.67,18390.57,18494.18,
3-June-2011,18554.40,18672.65,18345.85,18376.48,
6-June-2011,18344.27,18458.63,18258.42,18420.11,
7-June-2011,18355.30,18545.95,18351.24,18495.62,
8-June-2011,18448.40,18505.10,18365.94,18394.29,
9-June-2011,18394.57,18449.64,18327.01,18384.90,
10-June-2011,18390.41,18399.02,18182.90,18268.54,
13-June-2011,18242.25,18313.21,18120.76,18266.03,
14-June-2011,18276.78,18380.19,18261.11,18308.66,
15-June-2011,18298.59,18308.69,18111.21,18132.24,
16-June-2011,18060.11,18155.10,17958.94,17985.88,
17-June-2011,18060.17,18064.76,17844.09,17870.53,
20-June-2011,17925.17,17925.17,17314.38,17506.63,
21-June-2011,17574.37,17714.88,17504.27,17560.30,
22-June-2011,17659.37,17678.86,17492.19,17550.63,
23-June-2011,17526.92,17754.55,17482.21,17727.49,
24-June-2011,17804.94,18268.95,17804.94,18240.68,
27-June-2011,18132.70,18494.11,18132.70,18412.41,
28-June-2011,18493.59,18527.45,18323.44,18492.45,
29-June-2011,18552.19,18715.39,18552.19,18693.86,
30-June-2011,18741.10,18873.39,18723.14,18845.87,
1-July-2011,18974.96,19031.38,18713.07,18762.80,
4-July-2011,18896.24,18942.42,18781.88,18814.48,
5-July-2011,18837.88,18837.88,18694.05,18744.56,
6-July-2011,18730.29,18823.45,18682.60,18726.97,
7-July-2011,18776.62,19097.78,18767.25,19078.30,
8-July-2011,19084.06,19131.70,18817.71,18858.04,
11-July-2011,18823.19,18843.97,18679.49,18721.39,
12-July-2011,18534.11,18589.19,18326.42,18411.62,
13-July-2011,18468.82,18626.41,18465.40,18596.02,
14-July-2011,18563.69,18803.05,18449.23,18618.20,
15-July-2011,18694.19,18936.43,18513.22,18561.92,
18-July-2011,18592.19,18622.56,18469.53,18507.04,
19-July-2011,18521.38,18690.42,18481.83,18653.87,
20-July-2011,18756.31,18765.60,18473.90,18502.38,
21-July-2011,18514.65,18566.99,18415.36,18436.19,
22-July-2011,18565.04,18747.06,18533.43,18722.30,
25-July-2011,18753.35,18932.27,18670.84,18871.29,
26-July-2011,18898.19,18944.60,18481.63,18518.22,
27-July-2011,18571.15,18578.55,18358.76,18432.25,
28-July-2011,18300.55,18327.85,18188.88,18209.52,
